,Message,Tag
0,"سلام
 عیدی شما آماده است. عدد 1 را به شماره 307328 پیامک کنید تا ضمن عضویت در اپلیکیشن بازیانا و دسترسی نامحدود به بازی های پرتال 1000 تومان شارژ  عیدی بگیرید.""",Spam
1,"رفاه گیلان
چای تشریفات47%
روغن لادن15%
اسپاگتی مانا31%
تا 1/20
لغوعدد1",Spam
2,"درست و اصولی لاغر  شوید
*غیرحضوری*

کلیک کنید:
https://goo.gl/tDQ448",Spam
3,"خبرهای هیجان انگیز و جنجالی برای علاقمندان به فیلم و سریال، از هنرمندان و خبرهای حاشیه ای.
با عضویت در اپلیکیشن مواستار
در قرعه کشی کمپین بهار ۹۷ با جوایز پژو 206، آیفون x و سامسونگ s9 شرکت کن و جایزه ببر
با ارسال عدد: 20
دانلود اپلیکیشن:
http://mostar.ir/",Spam
4,هدیه ویژه نوروزی برای تمام مشترکین سرویس تلگراف . به مناسبت نوروز ۹۷، کتابچه ای به ارزش ۵۰۰۰ تومان به تمامی کاربرانی که با ارسال ۱ به ۳۰۲۲۳۱ عضو سرویس کتابخانه الکترونیکی تلگراف شوند تعلق خواهد گرفت.,Spam
5,"عیدی با عیدی هاش جذابه
عیدی ما هم به شما اپلیکیشن آوایاب 
هر کجا اگه یه آهنگ شنیدی و نفهمیدی خوانندش کیه یا کد آوای انتظارش چیه می تونی یک کلیک سریع پیداش کنی
تازه میتونی جایزه هم ببری!!
پژو ۲۰۶
گوشی ایفون x و سامسونگ s9
عضویت در آوایاب با ارسال: ۱۱۱
دانلود اپلیکیشن: http://avayab.com",Spam
6,"سال نومبارک
برای ماشین دارشدن فقط کافیه فیلم ببینی!
1 روبفرست عضو فیلم سرا شو و شانست رو برای برنده شدن یک دستگاه پژو 206 امتحان کن!",Spam
7,"""مشترک گرامی 
 به مناسبت آغاز سال 1397 در سرویس هدبازی فرصت شما برای حضور در قرعه کشی  یک میلیون ریال وجه نقد فراهم شده است. جهت شرکت در قرعه کشی  از طریق ارسال 1 به 309233  اقدام نمایید.
""",Spam
8,"""مشترک گرامی فرصت شما برای حضور در قرعه کشی  یک میلیون ریال وجه نقد در بازی موتورپروف فراهم شده است.
تنها کافیست عدد ۱ را ارسال و با عضویت در بازی موتورپروف در قرعه کشی شرکت کنید.
لینک دانلود:http://bit.ly/2IePv7f    """,Spam
9,"نوروز مبارک! 
در جشنواره عیدانه سرویس کاربردی کلید شما مجاز به دریافت ۱۰۰۰۰ ریال شارژ رایگان و بدون قرعه کشی شده اید 
برای ادامه عدد ۱ را به ۴۰۹۰۲۶۱ ارسال کنید",Spam
10,"مشترک عزیز 
با ثبت شماره خود در نرم‌افزار تابلو قیمت
 ۵۰۰۰ تومان شارژ رایگان دریافت کنید. 
جهت ثبت شماره و فعالسازی و شرایط دریافت شارژ هدیه ۱ را به ۲۰۶۱۸۹ ارسال کنید. ",Spam
11,یک روز مکالمه رایگان درون شبکه، هدیه همراه اول به مشترکینی که قبض خود را تا پنجم هرماه بصورت غیر حضوری پرداخت کنند. با شماره گیری #1* راحت، سریع و ایمن قبض خود یا دیگران را پرداخت کنید.,Spam
12,"تولیدی مبل نیما
تعمیرات تخصصی
سفارش خاص مبل پذیرفته میشود.
09113486115",Spam
13,"رفاه گیلان
آجیل 15%
میوه30%
روغن لادن30%
تا 1/6
لغوعدد1",Spam
14,"فقط 2 روز تا پایان تخفیفات مارال چرم باقیست
.
گلسار نبش خ 108 ",Spam
15,"هموطن گرامی، در سفرهای خود، اپلیکیشن زائر را روی تلفن همراه داشته باشید.
https://goo.gl/PAsivX",Spam
16,مشترک گرامي، ضمن تشکر از پرداخت صورت حساب، شما مي توانيد با پرداخت غيرحضوري قبض خود تا پايان روز پنجم هر ماه  مشمول هديه يک روز مکالمه رايگان درون شبکه شويد.,Spam
17,"سبدحمایت غذایی دولت در فروشگاه رفاه
۲۰تا۵۰%تخفیف
هرشب قرعه کشی خودرو",Spam
18,"افتتاح فروشگاه جدید ایران کتان
شعبه چابکسر
جنب تله کابین رامسر",Spam
19,"مشترک گرامی
اولین مرحله ازقرعه کشی جشنواره همراه اول انجام وبرنده خودرو206وتبلت وجوایز نقدی مشخص شدند.اسامی در(www.tcg.ir) باپرداخت صورتحساب درقرعه کشی دومین مرحله خوش حسابی همراه اول دراردیبهشت 97شرکت نمائید.
با تشکر""همراه اول گیلان""",Spam
